0,YLL014W,8.46765,6.045087,4.207719,5.7739034,5.6745234,5.3344226,4.1863484,3.0522468,9.052058,9.021301,7.8310504,9.356345,6.8484507,5.6579547,2.9909706,4.3938355,4.6142697,4.5255103,4.6996965,7.4157667,8.284572,7.102987,7.2854075,5.887786,5.416362,6.2757397,6.7171946,5.8600407,6.2902894,8.02416,5.3326015,8.119901,6.8120885,6.9586616,7.391304,6.853734
1,YHR131C,1.2735528,1.2450867,1.2417707,1.3194602,1.3703704,1.1503267,1.135428,1.1671891,0.9358354,1.5829597,1.2305937,1.0771574,1.4029851,1.0886364,1.3126411,1.3652968,1.6744704,1.2540816,1.1122345,0.7764579,0.8982857,1.0659114,1.1523606,1.0903674,1.5873016,1.6982249,1.0995475,1.1845843,1.1766529,1.1428572,1.1712404,0.7453646,1.3615385,1.089567,0.9817997,1.0280082
2,YKR099W,0.30987513,0.38381502,0.3473326,0.59730035,0.3445567,0.82897604,1.0520042,0.8766981,1.9854722,0.3217489,0.55707765,0.28324872,0.35246846,0.34318185,0.43002254,0.77397263,1.0222965,0.92755103,0.9110212,2.4017277,0.47542855,0.2430484,0.30472103,0.4260179,0.25885227,0.43905324,0.6776018,0.43204868,0.79855376,0.8119748,0.5499451,3.2880096,0.2868132,0.25984251,0.47118297,0.4232365
3,YER134C,1.3916005,0.9907514,0.7604994,0.8672666,0.8181819,0.7385621,0.700975,0.69383496,0.6682809,1.6165919,1.3744292,1.0426395,1.5177957,0.93522733,1.027088,1.0399543,0.858417,0.64897954,0.744186,0.6673866,1.5611429,1.3686919,1.3261802,1.224429,1.7863249,1.0639054,0.7873303,0.7758621,0.6632231,0.6544118,0.791438,0.9060569,1.9252747,1.1230315,0.9393326,0.9232365
4,YOR361C,4.2360954,2.1757224,3.2043133,3.3262095,3.533109,3.2984748,3.8082337,5.138976,17.96247,8.5919285,6.55137,6.101523,4.6647534,2.4852273,3.3092551,3.9257991,3.2474916,3.1571426,3.4357934,11.028078,9.788571,6.84552,6.224249,6.489573,5.2332115,2.9976332,3.392534,2.4056797,2.7179751,3.2153363,3.9791439,14.767613,7.3714285,5.4891734,5.6713853,5.35166
5,YPR075C,3.118048,4.2404623,4.735528,3.8728907,3.5420878,3.4607844,3.289274,3.1598747,2.4842615,3.6266818,3.3287673,1.5532994,2.8622274,3.0602272,3.598194,3.6837902,3.1649945,2.6836734,2.7057633,2.049676,4.1085715,2.807415,2.1598713,2.0019863,2.753358,5.435503,5.06448,2.912779,3.005165,2.8581934,4.2722287,2.1025958,4.089011,2.6781497,2.208291,2.1545641
6,YER099C,3.9239502,3.3052022,3.9943247,3.4420698,4.2121215,3.6394336,3.2860236,3.7722049,5.6598063,3.0067267,2.5890412,2.8385787,3.4982781,3.7988636,3.9954853,4.275114,4.1761427,3.7122447,3.3973708,3.3174946,3.9497144,2.6519053,2.604077,2.6037738,5.3431015,4.6508875,3.8122172,4.0851927,3.7138429,3.5756302,3.672887,4.9839306,3.3406594,2.4980316,2.4752274,2.7904563
7,YOR321W,1.0749148,0.8878613,1.0624291,1.4364455,1.177329,1.3474945,1.5438786,1.2403344,0.2639225,2.3845294,1.824201,1.2294416,1.4420208,1.0704546,1.0925508,1.2442923,0.8639911,1.2622448,1.1486349,0.8174946,1.2502857,1.8908342,1.3969957,1.0327706,1.1929182,0.9775148,1.1923077,1.1419879,1.0836776,1.1544118,1.0428101,0.5030902,1.9934065,1.9498032,1.4994944,1.3775933
8,YGL115W,4.4177074,3.8358378,1.8422248,2.150731,2.2424245,2.0294118,2.0595882,1.9749217,2.6283295,3.9125562,4.275114,3.8791878,3.5545354,3.5352275,2.9356658,1.716895,1.7904125,2.082653,2.0121334,1.3520519,3.6880002,3.037075,3.085837,4.222443,5.80464,2.6615384,2.2567873,2.356998,2.3977273,2.019958,2.5301867,1.9542645,2.189011,3.1397638,3.3326592,3.6410787
9,YNL126W,0.42565268,0.433526,0.30987513,0.27896512,0.17732885,0.2167756,0.14626218,0.19749217,0.14648911,0.29260093,0.543379,0.871066,0.39609647,0.5568182,0.2697517,0.25342467,0.20735787,0.30510202,0.25075832,0.13606912,0.25142857,0.6663233,0.48927036,0.52333665,0.21489622,0.6733728,0.31900454,0.39350915,0.38223138,0.35399163,0.26015368,0.20024721,0.27032968,0.77952754,0.8341759,0.6908713
10,YLR452C,0.17139615,0.39075142,0.31328037,0.34308213,0.46913582,0.332244,0.28169012,0.1462905,0.30508476,0.16255607,0.23059362,0.1827411,0.20895524,0.3034091,0.23476297,0.2739726,0.3489409,0.28367347,0.113245696,0.09071274,0.1862857,0.20185375,0.30793992,0.25422046,0.25518924,0.3443787,0.3778281,0.3640974,0.33161154,0.3760504,0.2162459,0.17428924,0.1978022,0.22342521,0.30131444,0.22510374
11,YMR067C,2.1759365,2.2080925,3.6889899,3.010124,3.3142536,2.456427,2.7713976,2.215256,1.3861985,3.206278,3.357306,2.1350253,2.7301953,2.9477272,3.339729,2.747717,3.7458193,2.282653,3.1991909,3.6403887,2.550857,3.3326468,3.0396993,3.1986098,2.1489623,2.5005918,3.4785068,2.4137933,2.4431818,1.8560925,1.6915479,3.0173051,3.4021978,2.8494093,2.3427703,2.6514523
12,YKR094C,11.92168,4.436994,8.685585,8.670416,10.684625,12.01525,10.834236,13.924765,32.617435,17.022423,18.304794,13.664974,10.14581,5.2227273,7.870203,9.144977,10.896321,8.478572,11.284124,20.77538,14.659428,16.495365,10.702789,13.970209,9.076923,7.188166,7.5214934,8.107506,9.982438,13.7268915,7.7859497,26.42645,11.0274725,16.169292,14.367037,11.329874
13,YNL312W,4.794552,4.0150285,5.3303065,3.9572554,4.0740743,4.0087147,4.131094,3.9822364,1.4188862,9.039238,8.635845,5.5289335,4.402985,4.1,3.9322798,3.3436072,5.114827,3.182653,4.430738,3.4589632,5.5554285,9.341915,6.288626,5.7616687,4.4432235,3.6816568,4.096154,2.825558,3.5847106,3.0556724,4.4017563,1.8343632,7.5769234,5.465551,5.236603,5.026971
14,YDL072C,11.704881,12.9156065,15.23496,13.969629,11.970819,12.842048,9.919826,10.722048,1.6210654,8.871077,8.841325,6.3167515,9.783009,12.163637,13.371331,14.666668,17.528429,10.876531,11.974722,7.0259175,6.408,7.61174,7.224249,7.2939425,9.671551,18.904142,17.57353,10.15923,11.415289,12.265757,13.36224,4.3770084,7.4197807,6.667323,4.8088975,6.8848543
